"73468 | "4
"1941505 | "8
"1511227 | "8
"1197538 | "8
"1667110 | "8
"172793 | "8
"1763134 | "4
"165280 | "5
"89373 | "8
"148157 | "8
"1763647 | "8
"148154 | "8
"114783 | "5
"130464 | "1
"103897 | "5
"5988 | "8
"1603009 | "8
"1715020 | "7
"131597 | "8
"1685747 | "4
"1751012 | "8
"1751013 | "4
"1611924 | "8
"1611927 | "8
"94844 | "3
"1345894 | "8
"1335206 | "8
"1194624 | "7
"120430 | "5
"1540052 | "8
"32235 | "8
"2146698 | "7
"74015 | "3
"1585793 | "8
"88394 | "8
"88396 | "8
"1546847 | "8
"27379 | "8
"117780 | "8
"1187580 | "8
"56121 | "8
"56123 | "3
"1629128 | "7
"2209900 | "1
"101763 | "6
"1544994 | "8
"1267218 | "4
"2178656 | "2
"19972 | "6
"132274 | "8
"19976 | "8
"32015 | "8
"32014 | "8
"1187761 | "8
"16259 | "8
"32018 | "8
"88026 | "8
"12015 | "7
"142969 | "8
"135605 | "8
"1641081 | "8
"15951 | "8
"1600208 | "8
"100015 | "8
"1185387 | "4
"1651323 | "8
"1185920 | "3
"119863 | "8
"1600205 | "8
"128294 | "5
"2173548 | "3
"1575108 | "8
"1978313 | "2
"53731 | "8
"57477 | "8
"128298 | "8
"1252316 | "5
"1624781 | "8
"176066 | "7
"107127 | "4
"1607074 | "3
"176069 | "8
"1805652 | "8
"1352009 | "8
"1564875 | "8
"125637 | "6
"1678512 | "8
"100364 | "5
"153800 | "8
"64456 | "8
"2034749 | "8
"134615 | "8
"1605348 | "8
"85611 | "8
"1679206 | "6
"133341 | "8
"44793 | "8
"133691 | "8
"1552672 | "6
"113239 | "8
"22871 | "8
"1581352 | "4
"125017 | "7
"22879 | "7
"1610388 | "8
"1610389 | "8
"116122 | "8
"38509 | "8
"1610386 | "8
"1610387 | "8
"90645 | "8
"90640 | "4
"1813752 | "3
"90319 | "8
"1196258 | "6
"155292 | "8
"1595705 | "2
"1548506 | "8
"113723 | "6
"168269 | "3
"108719 | "5
"2036467 | "1
"2088917 | "2
"1565588 | "8
"1640845 | "8
"2216949 | "3
"1909948 | "4
"1498852 | "5
"30418 | "8
"2218274 | "1
"1525617 | "6
"110957 | "8
"118804 | "3
"149751 | "8
"118802 | "8
"115598 | "8
"1564725 | "8
"33506 | "7
"54172 | "3
"132344 | "8
"135869 | "5
"89614 | "8
"2178768 | "5
"94540 | "3
"1229419 | "6
"122386 | "8
"1713665 | "8
"129456 | "8
"156654 | "8
"40747 | "8
"40744 | "8
"67103 | "7
"137869 | "1
"67106 | "2
"1809403 | "6
"1531477 | "4
"2152938 | "2
"1816120 | "8
"1271453 | "8
"1750355 | "8
"109449 | "3
"1710265 | "8
"1740541 | "8
"39590 | "8
"44705 | "8
"97936 | "3
"1809321 | "1
"1242901 | "1
"1335623 | "7
"83712 | "8
"1698418 | "8
"146170 | "3
"1645610 | "8
"1645341 | "8
"105825 | "8
"109668 | "8
"1701435 | "8
"1628958 | "8
"109193 | "8
"105828 | "8
"88561 | "8
"1313904 | "6
"107090 | "8
"107097 | "8
"1816153 | "2
"177815 | "8
"174358 | "8
"1486865 | "8
"1747547 | "8
"66508 | "8
"32229 | "5
"117068 | "8
"49394 | "8
"34601 | "3
"152373 | "8
"1540953 | "5
"84900 | "8
"10886 | "8
"1295342 | "8
"131474 | "8
"1751469 | "4
"52819 | "8
"84909 | "8
"1842836 | "7
"88706 | "8
"1870354 | "8
"158150 | "8
"1842832 | "3
"85171 | "3
"26568 | "8
"60908 | "2
"154861 | "8
"2217317 | "3
"2220674 | "2
"83702 | "8
"130873 | "4
"1732710 | "8
"130875 | "6
"1625228 | "8
"75531 | "8
"75537 | "7
"73077 | "8
"2212947 | "3
"87191 | "2
"77021 | "8
"86210 | "8
"1355595 | "3
"1536560 | "5
"2212949 | "2
"114443 | "8
"1726912 | "6
"114448 | "4
"31906 | "8
"86220 | "8
"1732277 | "7
"32224 | "8
"32226 | "8
"5844 | "8
"1190314 | "8
"1194610 | "5
"1845644 | "8
"11281 | "8
"96414 | "8
"74488 | "8
"1718931 | "8
"32228 | "8
"87198 | "8
"166838 | "8
"56826 | "8
"1589873 | "6
"56821 | "8
"98101 | "8
"1589879 | "8
"108989 | "8
"116331 | "8
"1700939 | "8
"94300 | "7
"170072 | "5
"1529436 | "8
"130259 | "8
"90813 | "6
"130255 | "8
"90810 | "8
"130252 | "8
"11759 | "8
"1603942 | "7
"51102 | "8
"1676050 | "8
"181153 | "8
"101533 | "8
"1718642 | "5
"1676058 | "8
"121951 | "7
"1519004 | "1
"20882 | "5
"97452 | "6
"105635 | "4
"122606 | "5
"2115998 | "7
"1556693 | "8
"13286 | "8
"2115996 | "7
"2115997 | "7
"124725 | "7
"85424 | "8
"152836 | "2
"85421 | "8
"152831 | "8
"113144 | "8
"1550961 | "8
"85428 | "8
"139589 | "8
"140425 | "8
"1825284 | "8
"109797 | "8
"45653 | "8
"1833882 | "8
"134153 | "8
"1670068 | "8
"1510059 | "8
"1670064 | "5
"45875 | "8
"1813328 | "8
"45872 | "8
"1815943 | "8
"99509 | "8
"2210316 | "4
"1742715 | "8
"109798 | "5
"99501 | "8
"38152 | "8
"2087458 | "8
"1715642 | "8
"1293233 | "8
"2115725 | "6
"167876 | "8
"1485326 | "8
"171704 | "8
"102369 | "7
"40883 | "8
"1197367 | "8
"1294931 | "8
"53509 | "8
"137984 | "8
"1657659 | "3
"57881 | "8
"57880 | "8
"1978101 | "8
"1196067 | "8
"113796 | "8
"1599366 | "7
"21420 | "8
"1728150 | "8
"24417 | "8
"121770 | "8
"1575774 | "4
"63274 | "8
"24148 | "8
"24149 | "8
"1852963 | "6
"1852961 | "3
"112547 | "8
"1669765 | "7
"1731180 | "8
"1310849 | "3
"2208275 | "1
"179446 | "8
"1552337 | "8
"171087 | "8
"11846 | "8
"79723 | "3
"86423 | "8
"168699 | "8
"1763802 | "8
"2178680 | "2
"165016 | "4
"2037076 | "7
"1516368 | "7
"1596103 | "8
"1212693 | "7
"1527643 | "8
"1734064 | "8
"157248 | "8
"1614676 | "8
"1439925 | "8
"132805 | "8
"84483 | "2
"138988 | "8
"1749232 | "8
